City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Chuy,UY,-33.6971,-53.4616,49.1,80,7,3.11,clear sky
1,Deputatskiy,RU,69.3,139.9,61.41,67,94,3.71,overcast clouds
2,Quatre Cocos,MU,-20.2078,57.7625,70.09,67,47,17.96,light rain
3,Georgetown,MY,5.4112,100.3354,81.9,91,20,3.44,few clouds
4,Hasaki,JP,35.7333,140.8333,90.28,72,86,1.23,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,73.0,83,9,6.49,clear sky
6,Busselton,AU,-33.65,115.3333,54.86,70,92,10.71,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,72.36,76,10,16.15,light rain
8,Mar Del Plata,AR,-38.0023,-57.5575,53.1,86,0,8.99,light rain
9,Yellowknife,CA,62.456,-114.3525,57.72,82,100,6.91,light intensity shower rain
10,Coahuayana,MX,18.7333,-103.6833,83.35,74,100,3.44,overcast clouds
11,Lusambo,CD,-4.9667,23.45,76.35,55,91,1.81,overcast clouds
12,Jamestown,US,42.097,-79.2353,71.24,59,0,5.99,clear sky
13,Gua Musang,MY,4.8823,101.9644,74.62,98,100,1.48,overcast clouds
14,Flin Flon,CA,54.7682,-101.865,62.13,60,100,2.59,overcast clouds
15,Anadyr,RU,64.75,177.4833,59.5,55,20,6.71,few clouds
16,Douglas,US,41.3,-96.167,84.27,49,0,9.22,clear sky
17,Gimli,CA,50.6336,-96.9907,80.28,62,69,2.48,broken clouds
18,Vila Velha,BR,-20.3297,-40.2925,71.55,64,75,9.22,broken clouds
19,Barrow,US,71.2906,-156.7887,35.62,87,100,6.91,overcast clouds
20,Carnarvon,AU,-24.8667,113.6333,58.64,58,48,15.9,scattered clouds
21,Bjorkelangen,NO,59.8848,11.5694,58.39,98,100,4.45,overcast clouds
22,Khatanga,RU,71.9667,102.5,45.99,92,100,13.06,moderate rain
23,Punta Arenas,CL,-53.15,-70.9167,41.11,70,0,21.85,clear sky
24,Qaanaaq,GL,77.484,-69.3632,45.34,59,28,2.06,scattered clouds
25,Nanortalik,GL,60.1432,-45.2371,44.38,90,51,4.97,broken clouds
26,Cape Town,ZA,-33.9258,18.4232,50.11,94,75,3.44,light rain
27,Cabo San Lucas,MX,22.8909,-109.9124,93.61,54,40,8.05,scattered clouds
28,Torbay,CA,47.6666,-52.7314,67.57,91,100,11.5,overcast clouds
29,Vaini,TO,-21.2,-175.2,80.76,83,40,11.5,scattered clouds
30,Kapaa,US,22.0752,-159.319,84.52,68,20,12.66,few clouds
31,Mahanoro,MG,-19.9,48.8,64.38,92,10,4.41,clear sky
32,Tiksi,RU,71.6872,128.8694,49.57,74,48,2.71,scattered clouds
33,Saskylakh,RU,71.9167,114.0833,54.88,96,100,10.65,moderate rain
34,Avarua,CK,-21.2078,-159.775,78.85,73,75,21.85,broken clouds
35,Vikhorevka,RU,56.1201,101.1636,63.99,98,100,11.07,light rain
36,Ushuaia,AR,-54.8,-68.3,44.26,61,40,13.8,scattered clouds
37,Cockburn Town,TC,21.4612,-71.1419,82.11,86,1,22.06,clear sky
38,Hassleholm,SE,56.1591,13.7664,56.75,92,10,3.13,clear sky
39,Nikolskoye,RU,59.7035,30.7861,56.8,96,4,4.63,clear sky
40,Cape Canaveral,US,28.4058,-80.6048,86.07,72,0,12.66,clear sky
41,Aklavik,CA,68.2191,-135.0107,51.22,66,99,9.66,overcast clouds
42,Mecca,SA,21.4267,39.8261,88.92,25,51,3.13,broken clouds
43,Hobart,AU,-42.8794,147.3294,51.66,77,75,6.91,broken clouds
44,Lebu,CL,-37.6167,-73.65,48.18,87,98,5.53,overcast clouds
45,Guerrero Negro,MX,27.9769,-114.0611,77.36,59,32,14.88,scattered clouds
46,Katobu,ID,-4.9408,122.5276,75.47,92,97,6.31,overcast clouds
47,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,82,75,4.47,light rain
48,Husavik,IS,66.0449,-17.3389,42.44,93,100,19.44,overcast clouds
49,New Norfolk,AU,-42.7826,147.0587,51.3,77,100,1.01,light rain
50,Tasiilaq,GL,65.6145,-37.6368,42.96,61,33,5.21,scattered clouds
51,Hermanus,ZA,-34.4187,19.2345,45.81,69,72,7.0,light rain
52,Hithadhoo,MV,-0.6,73.0833,80.44,75,100,15.7,moderate rain
53,Eureka,US,40.8021,-124.1637,85.68,79,65,5.01,broken clouds
54,Taoudenni,ML,22.6783,-3.9836,98.92,22,91,6.26,overcast clouds
55,Odweyne,SO,9.4092,45.064,72.72,52,52,17.81,broken clouds
56,Mataura,NZ,-46.1927,168.8643,40.98,96,100,5.84,overcast clouds
57,Bengkulu,ID,-3.8004,102.2655,76.14,87,98,4.05,overcast clouds
58,Provideniya,RU,64.3833,-173.3,54.27,63,94,4.16,overcast clouds
59,Chokurdakh,RU,70.6333,147.9167,64.65,50,6,4.9,clear sky
60,Kahului,US,20.8947,-156.47,91.42,43,40,20.71,scattered clouds
61,Kochubey,RU,44.3861,46.5825,73.8,65,2,5.7,clear sky
62,Kaeo,NZ,-35.1,173.7833,55.4,61,44,13.29,scattered clouds
63,Kaitangata,NZ,-46.2817,169.8464,42.26,90,84,10.78,broken clouds
64,Nemuro,JP,43.3236,145.575,69.96,85,52,10.13,broken clouds
65,Albany,US,42.6001,-73.9662,75.63,59,13,9.01,few clouds
66,Vao,NC,-22.6667,167.4833,67.75,75,100,27.4,overcast clouds
67,Hastings,GB,50.8552,0.5729,66.79,95,80,10.96,broken clouds
68,Mantua,IT,45.1667,10.7833,76.24,78,4,3.0,clear sky
69,Grand-Bourg,GP,15.8835,-61.3148,80.55,86,20,20.47,few clouds
70,Hambantota,LK,6.1241,81.1185,77.34,100,20,3.44,few clouds
